,status
0,Delivered
1,Delivered
2,Delivered
3,Cancelled
4,Cancelled
5,Delivered
6,Delivered
7,Delivered
8,Delivered
9,Delivered
10,Delivered
11,Delivered
12,Delivered
13,Delivered
14,Cancelled
15,Delivered
16,Delivered
17,Cancelled
18,Delivered
19,Delivered
20,Delivered
21,Delivered
22,Delivered
23,Delivered
24,Delivered
25,Cancelled
26,Cancelled
27,Delivered
28,Delivered
29,Delivered
30,Cancelled
31,Delivered
32,Delivered
33,Delivered
34,Cancelled
35,Delivered
36,Delivered
37,Delivered
38,Delivered
39,Delivered
40,Delivered
41,Cancelled
42,Delivered
43,Cancelled
44,Delivered
45,Delivered
46,Delivered
47,Delivered
48,Cancelled
49,Delivered
50,Cancelled
51,Delivered
52,Delivered
53,Cancelled
54,Delivered
55,Delivered
56,Delivered
57,Delivered
58,Delivered
59,Delivered
60,Delivered
61,Delivered
62,Cancelled
63,Cancelled
64,Delivered
65,Delivered
66,Delivered
67,Delivered
68,Delivered
69,Delivered
70,Delivered
71,Delivered
72,Delivered
73,Delivered
74,Delivered
75,Delivered
76,Delivered
77,Cancelled
78,Delivered
79,Delivered
80,Delivered
81,Delivered
82,Delivered
83,Cancelled
84,Delivered
85,Delivered
86,Cancelled
87,Delivered
88,Cancelled
89,Delivered
90,Delivered
91,Delivered
92,Delivered
93,Delivered
94,Delivered
95,Delivered
96,Delivered
97,Cancelled
98,Delivered
99,Delivered
100,Delivered
101,Cancelled
102,Cancelled
103,Delivered
104,Delivered
105,Delivered
106,Delivered
107,Delivered
108,Delivered
109,Delivered
110,Delivered
111,Delivered
112,Delivered
113,Delivered
114,Delivered
115,Delivered
116,Cancelled
117,Delivered
118,Delivered
119,Cancelled
120,Delivered
121,Delivered
122,Delivered
123,Delivered
124,Delivered
125,Cancelled
126,Cancelled
127,Delivered
128,Delivered
129,Delivered
130,Delivered
131,Cancelled
132,Delivered
133,Delivered
134,Delivered
135,Cancelled
136,Delivered
137,Delivered
138,Delivered
139,Delivered
140,Delivered
141,Delivered
142,Delivered
143,Delivered
144,Delivered
145,Delivered
146,Delivered
147,Delivered
148,Delivered
149,Cancelled
150,Delivered
151,Delivered
152,Delivered
153,Delivered
154,Delivered
155,Delivered
156,Cancelled
157,Delivered
158,Delivered
159,Delivered
160,Delivered
161,Delivered
162,Cancelled
163,Delivered
164,Delivered
165,Delivered
166,Delivered
167,Delivered
168,Delivered
169,Delivered
170,Delivered
171,Delivered
172,Delivered
173,Delivered
174,Delivered
175,Delivered
176,Delivered
177,Delivered
178,Delivered
179,Delivered
180,Delivered
181,Delivered
182,Delivered
183,Delivered
184,Delivered
185,Cancelled
186,Cancelled
187,Delivered
188,Cancelled
189,Delivered
190,Delivered
191,Delivered
192,Delivered
193,Delivered
194,Delivered
195,Delivered
196,Delivered
197,Delivered
198,Delivered
199,Delivered
200,Delivered
201,Delivered
202,Delivered
203,Delivered
204,Delivered
205,Delivered
206,Delivered
207,Delivered
208,Delivered
209,Delivered
210,Delivered
211,Delivered
212,Delivered
213,Delivered
214,Delivered
215,Delivered
216,Cancelled
217,Delivered
218,Cancelled
219,Delivered
220,Delivered
221,Delivered
222,Delivered
223,Delivered
224,Delivered
225,Cancelled
226,Delivered
227,Delivered
228,Delivered
229,Delivered
230,Delivered
231,Delivered
232,Delivered
233,Cancelled
234,Cancelled
235,Delivered
236,Delivered
237,Cancelled
238,Delivered
239,Cancelled
240,Delivered
241,Delivered
242,Delivered
243,Delivered
244,Delivered
245,Delivered
246,Delivered
247,Delivered
248,Delivered
249,Delivered
250,Delivered
251,Delivered
252,Delivered
253,Delivered
254,Cancelled
255,Delivered
256,Delivered
257,Delivered
258,Delivered
259,Delivered
260,Delivered
261,Cancelled
262,Delivered
263,Delivered
264,Delivered
265,Delivered
266,Cancelled
267,Delivered
268,Delivered
269,Delivered
270,Delivered
271,Delivered
272,Delivered
273,Delivered
274,Delivered
275,Delivered
276,Delivered
277,Delivered
278,Cancelled
279,Delivered
280,Delivered
281,Delivered
282,Delivered
283,Cancelled
284,Delivered
285,Delivered
286,Delivered
287,Delivered
288,Delivered
289,Delivered
290,Delivered
291,Delivered
292,Cancelled
293,Delivered
294,Delivered
295,Delivered
296,Delivered
297,Delivered
298,Delivered
299,Cancelled
300,Delivered
301,Delivered
302,Delivered
303,Delivered
304,Delivered
305,Cancelled
306,Delivered
307,Delivered
308,Delivered
309,Delivered
310,Delivered
311,Delivered
312,Cancelled
313,Delivered
314,Delivered
315,Delivered
316,Delivered
317,Delivered
318,Delivered
319,Delivered
320,Delivered
321,Delivered
322,Delivered
323,Delivered
324,Delivered
325,Delivered
326,Delivered
327,Delivered
328,Delivered
329,Delivered
330,Cancelled
331,Delivered
332,Delivered
333,Delivered
334,Delivered
335,Delivered
336,Delivered
337,Cancelled
338,Delivered
339,Delivered
340,Delivered
341,Delivered
342,Cancelled
343,Delivered
344,Delivered
345,Delivered
346,Delivered
347,Delivered
348,Delivered
349,Delivered
350,Delivered
351,Delivered
352,Cancelled
353,Delivered
354,Cancelled
355,Cancelled
356,Delivered
357,Delivered
358,Cancelled
359,Delivered
360,Delivered
361,Delivered
362,Delivered
363,Delivered
364,Delivered
365,Delivered
366,Delivered
367,Delivered
368,Delivered
369,Delivered
370,Delivered
371,Cancelled
372,Delivered
373,Delivered
374,Cancelled
375,Delivered
376,Delivered
377,Cancelled
378,Delivered
379,Delivered
380,Cancelled
381,Cancelled
382,Cancelled
383,Delivered
384,Cancelled
385,Delivered
386,Delivered
387,Delivered
388,Delivered
389,Delivered
390,Delivered
391,Cancelled
392,Delivered
393,Delivered
394,Delivered
395,Cancelled
396,Cancelled
397,Delivered
398,Delivered
399,Delivered
400,Cancelled
401,Delivered
402,Delivered
403,Delivered
404,Delivered
405,Delivered
406,Cancelled
407,Delivered
408,Delivered
409,Delivered
410,Cancelled
411,Delivered
412,Delivered
413,Delivered
414,Delivered
415,Delivered
416,Delivered
417,Delivered
418,Delivered
419,Delivered
420,Cancelled
421,Cancelled
422,Cancelled
423,Delivered
424,Cancelled
425,Delivered
426,Delivered
427,Delivered
428,Delivered
429,Delivered
430,Delivered
431,Delivered
432,Delivered
433,Delivered
434,Delivered
435,Delivered
436,Delivered
437,Cancelled
438,Delivered
439,Delivered
440,Delivered
441,Delivered
442,Delivered
443,Delivered
444,Delivered
445,Delivered
446,Delivered
447,Delivered
448,Cancelled
449,Delivered
450,Delivered
451,Delivered
452,Delivered
453,Delivered
454,Delivered
455,Delivered
456,Delivered
457,Delivered
458,Delivered
459,Delivered
460,Delivered
461,Delivered
462,Delivered
463,Delivered
464,Delivered
465,Delivered
466,Delivered
467,Cancelled
468,Cancelled
469,Delivered
470,Delivered
471,Delivered
472,Delivered
473,Delivered
474,Delivered
475,Delivered
476,Cancelled
477,Delivered
478,Delivered
479,Delivered
480,Delivered
481,Delivered
482,Cancelled
483,Cancelled
484,Cancelled
485,Delivered
486,Delivered
487,Delivered
488,Delivered
489,Delivered
490,Delivered
491,Delivered
492,Delivered
493,Delivered
494,Delivered
495,Delivered
496,Cancelled
497,Delivered
498,Delivered
499,Cancelled
500,Delivered
501,Delivered
502,Delivered
503,Delivered
504,Delivered
505,Delivered
506,Cancelled
507,Delivered
508,Delivered
509,Delivered
510,Delivered
511,Delivered
512,Delivered
513,Delivered
514,Cancelled
515,Delivered
516,Delivered
517,Delivered
518,Delivered
519,Delivered
520,Delivered
521,Delivered
522,Delivered
523,Delivered
524,Cancelled
525,Delivered
526,Delivered
527,Delivered
528,Delivered
529,Cancelled
530,Delivered
531,Delivered
532,Delivered
533,Delivered
534,Delivered
535,Delivered
536,Delivered
537,Delivered
538,Cancelled
539,Delivered
540,Delivered
541,Delivered
542,Delivered
543,Delivered
544,Delivered
545,Delivered
546,Delivered
547,Delivered
548,Delivered
549,Delivered
550,Cancelled
551,Delivered
552,Delivered
553,Delivered
554,Delivered
555,Delivered
556,Delivered
557,Delivered
558,Delivered
559,Delivered
560,Delivered
561,Delivered
562,Delivered
563,Cancelled
564,Delivered
565,Delivered
566,Cancelled
567,Delivered
568,Delivered
569,Delivered
570,Cancelled
571,Delivered
572,Delivered
573,Delivered
574,Delivered
575,Delivered
576,Delivered
577,Cancelled
578,Delivered
579,Delivered
580,Delivered
581,Cancelled
582,Delivered
583,Cancelled
584,Delivered
585,Cancelled
586,Delivered
587,Delivered
588,Delivered
589,Delivered
590,Delivered
591,Delivered
592,Delivered
593,Delivered
594,Cancelled
595,Delivered
596,Delivered
597,Cancelled
598,Delivered
599,Delivered
600,Delivered
601,Cancelled
602,Delivered
603,Delivered
604,Delivered
605,Delivered
606,Delivered
607,Delivered
608,Delivered
609,Delivered
610,Delivered
611,Delivered
612,Delivered
613,Delivered
614,Cancelled
615,Delivered
616,Delivered
617,Delivered
618,Cancelled
619,Delivered
620,Delivered
621,Delivered
622,Delivered
623,Delivered
624,Cancelled
625,Delivered
626,Delivered
627,Cancelled
628,Delivered
629,Delivered
630,Delivered
631,Delivered
632,Delivered
633,Delivered
634,Delivered
635,Cancelled
636,Delivered
637,Delivered
638,Delivered
639,Delivered
640,Delivered
641,Delivered
642,Delivered
643,Delivered
644,Delivered
645,Delivered
646,Cancelled
647,Delivered
648,Delivered
649,Delivered
650,Delivered
651,Delivered
652,Delivered
653,Delivered
654,Delivered
655,Delivered
656,Delivered
657,Delivered
658,Delivered
659,Delivered
660,Delivered
661,Delivered
662,Delivered
663,Delivered
664,Delivered
665,Delivered
666,Delivered
667,Delivered
668,Delivered
669,Delivered
670,Delivered
671,Delivered
672,Cancelled
673,Delivered
674,Delivered
675,Delivered
676,Delivered
